title,authors,original_publication_year,average_rating,tag_id,book_id,books_count,work_ratings_count,work_text_reviews_count,tag_name
Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605,3.85,16,597,1887,159253,5429,nonfiction
"The Restaurant at the End of the Universe (Hitchhiker´s Guide, #2)",Douglas Adams,1980,4.22,16,599,162,172365,3851,nonfiction
"Are You There God? It´s Me, Margaret",Judy Blume,1970,3.89,16,621,75,162083,5168,nonfiction
Veronika Decides to Die,"Paulo Coelho, Margaret Jull Costa",1998,3.69,,629,229,132191,6063,philosophy
Baby Proof,Emily Giffin,2006,3.71,16,647,43,129325,3375,nonfiction
"I´d Tell You I Love You, But Then I´d Have to Kill You (Gallagher Girls, #1)",Ally Carter,2006,3.82,5,656,58,157885,6720,classics
Interpreter of Maladies,Jhumpa Lahiri,1999,4.12,11,662,83,125062,8145,fiction
"The Passage (The Passage, #1)",Justin Cronin,2010,4.04,,665,101,145772,16506,philosophy
Along for the Ride,Sarah Dessen,2009,4.08,11,667,41,156330,6238,fiction
Everything I Never Told You,Celeste Ng,2014,3.78,5,668,62,134550,15177,classics
"Entwined with You (Crossfire, #3)",Sylvia Day,2013,4.19,21,676,76,157731,9728,poetry
The Silver Linings Playbook,Matthew Quick,2008,4,11,698,75,129408,11059,fiction
Bag of Bones,Stephen King,1998,3.87,11,703,134,137867,3087,fiction
Around the World in Eighty Days,"Jules Verne, Michael Glencross, Brian W. Aldiss",1872,3.9,13,706,1903,141132,4341,humor
"Ender´s Shadow (Ender´s Shadow, #1)",Orson Scott Card,1998,4.3,11,760,63,125744,4587,fiction
"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,2009,3.85,11,816,2,118705,12827,fiction
The Sense of an Ending,Julian Barnes,2011,3.7,11,822,110,114025,12966,fiction
"A is for Alibi (Kinsey Millhone, #1)",Sue Grafton,1982,3.82,11,823,81,121225,3236,fiction
Shanghai Girls (Shanghai Girls #1),Lisa See,2009,3.87,11,825,52,114862,8654,fiction
"To All the Boys I´ve Loved Before (To All the Boys I´ve Loved Before, #1)",Jenny Han,2014,4.11,25,827,60,151311,17356,science fiction
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,2010,3.86,25,830,53,146547,11130,science fiction
"Shōgun (Asian Saga, #1)",James Clavell,1975,4.37,16,840,120,115527,3075,nonfiction
Night Shift,"Stephen King, John D. MacDonald",1978,3.96,11,865,119,112357,2038,fiction
Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",2005,4.3,20,870,40,107944,5875,manga
"The Summoning (Darkest Powers, #1)",Kelley Armstrong,2008,4.03,11,880,52,136832,5830,fiction
Second Foundation (Foundation #3),Isaac Asimov,1953,4.23,5,890,146,105839,1675,classics
The Selfish Gene,Richard Dawkins,1976,4.11,16,900,104,101017,2460,nonfiction
"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,1992,4.08,15,902,130,108388,3068,mystery
Anthem,Ayn Rand,1938,3.62,11,903,460,106766,7096,fiction
"Shopaholic & Baby (Shopaholic, #5)",Sophie Kinsella,2007,3.77,16,952,80,103621,2434,nonfiction
"The Gathering Storm (Wheel of Time, #12)","Robert Jordan, Brandon Sanderson",2009,4.34,11,960,2,100343,2582,fiction
Cleopatra: A Life,Stacy Schiff,2006,3.62,11,968,55,76685,4534,fiction
The Monster at the End of this Book,"Jon Stone, Michael J. Smollin",1971,4.45,16,998,23,104970,2504,nonfiction
