book_id,tag_name,books_count,authors,original_publication_year,title,average_rating,work_ratings_count,work_text_reviews_count,tag_id
17,young adult,201,Suzanne Collins                                                               ,2009,"Catching Fire (The Hunger Games, #2)                                                     ",4.3,1988079,88538,18
18,fantasy,376,"J.K. Rowling, Mary GrandPré, Rufus Beck                                       ",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)                              ",4.5,1969375,36099,10
19,fantasy,566,J.R.R. Tolkien                                                                ,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)                                   ",4.3,1832541,15333,10
20,young adult,239,Suzanne Collins                                                               ,2010,"Mockingjay (The Hunger Games, #3)                                                        ",4,1870748,96274,18
21,fantasy,307,"J.K. Rowling, Mary GrandPré                                                   ",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)                             ",4.5,1840548,28685,10
22,fiction,183,Alice Sebold                                                                  ,2002,The Lovely Bones                                                                         ,3.8,1661562,36642,11
23,fantasy,398,"J.K. Rowling, Mary GrandPré                                                   ",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)                               ",4.4,1906199,34172,10
24,fantasy,332,"J.K. Rowling, Mary GrandPré                                                   ",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)                                   ",4.5,1868642,31084,10
25,fantasy,263,"J.K. Rowling, Mary GrandPré                                                   ",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)                                  ",4.6,1847395,51942,10
26,fiction,350,Dan Brown                                                                     ,2003,"The Da Vinci Code (Robert Langdon, #2)                                                   ",3.8,1557292,41560,11
27,fantasy,275,"J.K. Rowling, Mary GrandPré                                                   ",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)                                ",4.5,1785676,27520,10
28,classics,458,William Golding                                                               ,1954,Lord of the Flies                                                                        ,3.6,1671484,26886,5 
29,classics,1937,"William Shakespeare, Robert           Jackson                                 ",1595,Romeo and Juliet                                                                         ,3.7,1672889,14778,5 
30,mystery,196,Gillian Flynn                                                                 ,2012,Gone Girl                                                                                ,4,1626519,121614,15
31,fiction,183,Kathryn Stockett                                                              ,2009,The Help                                                                                 ,4.5,1603545,78204,11
32,classics,373,John Steinbeck                                                                ,1937,Of Mice and Men                                                                          ,3.8,1518741,24642,5 
33,fiction,220,Arthur Golden                                                                 ,1997,Memoirs of a Geisha                                                                      ,4.1,1418172,25605,11
34,romance,169,E.L. James                                                                    ,2011,"Fifty Shades of Grey (Fifty Shades, #1)                                                  ",3.7,1436818,75437,17
35,fiction,458,"Paulo Coelho, Alan R. Clarke                                                  ",1988,The Alchemist                                                                            ,3.8,1403995,55781,11
36,fiction,192,Lois Lowry                                                                    ,1993,"The Giver (The Giver, #1)                                                                ",4.1,1345445,54084,11
37,fantasy,474,C.S. Lewis                                                                    ,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)                         ",4.2,1584884,15186,10
38,fiction,167,Audrey Niffenegger                                                            ,2003,The Time Traveler's Wife                                                                 ,4,1308667,43382,11
39,fiction,101,George R.R. Martin                                                            ,1996,"A Game of Thrones (A Song of Ice and Fire, #1)                                           ",4.5,1442220,46205,11
40,nonfiction,185,Elizabeth Gilbert                                                             ,2006,"Eat, Pray, Love                                                                          ",3.5,1206597,49714,16
41,fantasy,159,Rick Riordan                                                                  ,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)                                ",4.2,1411114,46006,10
42,classics,1707,Louisa May Alcott                                                             ,1868,"Little Women (Little Women, #1)                                                          ",4,1314293,17090,5 
43,historical,2568,"Charlotte Brontë, Michael Mason                                               ",1847,Jane Eyre                                                                                ,4.1,1286135,31212,12
44,fiction,190,Nicholas Sparks                                                               ,1996,"The Notebook (The Notebook, #1)                                                          ",4.1,1076749,17279,11
45,fiction,264,Yann Martel                                                                   ,2001,Life of Pi                                                                               ,3.9,1077431,42962,11
46,fiction,128,Sara Gruen                                                                    ,2006,Water for Elephants                                                                      ,4.1,1108839,55732,11
47,fiction,251,Markus Zusak                                                                  ,2005,The Book Thief                                                                           ,4.4,1287798,93611,11
48,classics,507,Ray Bradbury                                                                  ,1953,Fahrenheit 451                                                                           ,4,1176240,30694,5 
49,young adult,194,Stephenie Meyer                                                               ,2006,"New Moon (Twilight, #2)                                                                  ",3.5,1199000,44020,18
50,poetry,45,Shel Silverstein                                                              ,1974,Where the Sidewalk Ends                                                                  ,4.3,1023781,9234,21
51,young adult,178,Cassandra Clare                                                               ,2007,"City of Bones (The Mortal Instruments, #1)                                               ",4.1,1241799,51589,18
52,young adult,185,Stephenie Meyer                                                               ,2007,"Eclipse (Twilight, #3)                                                                   ",3.7,1176642,35216,18
53,fantasy,217,Christopher Paolini                                                           ,2002,"Eragon (The Inheritance Cycle, #1)                                                       ",3.9,1125231,18280,10
54,science fiction,257,Douglas Adams                                                                 ,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)              ",4.2,1006479,20345,25
55,classics,515,Aldous Huxley                                                                 ,1932,Brave New World                                                                          ,4,1079135,20095,5 
56,fantasy,183,Stephenie Meyer                                                               ,2008,"Breaking Dawn (Twilight, #4)                                                             ",3.7,1107709,44550,10
57,fiction,125,Sue Monk Kidd                                                                 ,2001,The Secret Life of Bees                                                                  ,4,937393,26522,11
58,classics,2277,"Mark Twain, John Seelye, Guy Cardwell                                         ",1884,The Adventures of Huckleberry Finn                                                       ,3.8,1001491,12448,5 
59,classics,180,"E.B. White, Garth Williams, Rosemary Wells                                    ",1952,Charlotte's Web                                                                          ,4.2,1084842,13044,5 
60,fiction,183,Mark Haddon                                                                   ,2003,The Curious Incident of the Dog in the Night-Time                                        ,3.9,915790,35796,11
61,mystery,14,Paula Hawkins                                                                 ,2015,The Girl on the Train                                                                    ,3.9,1226485,93600,15
62,fantasy,287,Philip Pullman                                                                ,1995,"The Golden Compass (His Dark Materials, #1)                                              ",3.9,994914,14915,10
63,classics,2498,"Emily Brontë, Richard J. Dunn                                                 ",1847,Wuthering Heights                                                                        ,3.8,1001135,26157,5 
64,fiction,125,Jodi Picoult                                                                  ,2004,My Sister's Keeper                                                                       ,4.1,887880,30719,11
65,fiction,241,Kurt Vonnegut Jr.                                                             ,1969,Slaughterhouse-Five                                                                      ,4.1,891762,19646,11
66,classics,409,Margaret Mitchell                                                             ,1936,Gone with the Wind                                                                       ,4.3,897303,16050,5 
67,fiction,197,Khaled Hosseini                                                               ,2007,A Thousand Splendid Suns                                                                 ,4.3,866065,43645,11
68,fiction,128,Stephen Chbosky                                                               ,1999,The Perks of Being a Wallflower                                                          ,4.2,954905,47116,11
69,young adult,164,Veronica Roth                                                                 ,2012,"Insurgent (Divergent, #2)                                                                ",4.1,947338,55873,18
70,science fiction,224,Orson Scott Card                                                              ,1985,"Ender's Game (Ender's Saga, #1)                                                          ",4.3,873417,38054,25
71,classics,2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle             ",1818,Frankenstein                                                                             ,3.8,883563,19993,5 
72,fiction,289,Stephen King                                                                  ,1977,The Shining (The Shining #1)                                                             ,4.2,830881,14936,11
73,science fiction,161,Stephenie Meyer                                                               ,2008,"The Host (The Host, #1)                                                                  ",3.8,777560,39778,25
74,young adult,187,John Green                                                                    ,2005,Looking for Alaska                                                                       ,4.1,831285,47128,18
75,fiction,193,Helen Fielding                                                                ,1996,"Bridget Jones's Diary (Bridget Jones, #1)                                                ",3.8,754498,8157,11
76,fiction,1969,"Jane Austen, Tony Tanner, Ros Ballaster                                       ",1811,Sense and Sensibility                                                                    ,4.1,779382,11526,11
77,fiction,138,"Louis Sachar, Louis Sachar                                                    ",1998,"Holes (Holes, #1)                                                                        ",3.9,764637,15832,11
78,fiction,129,Lauren Weisberger                                                             ,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)                                        ",3.7,679845,8024,11
79,classics,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox                ",-720,The Odyssey                                                                              ,3.7,710757,8101,5 
80,fantasy,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince                                                                        ,4.3,859286,24537,10
81,nonfiction,92,Jeannette Walls                                                               ,2005,The Glass Castle                                                                         ,4.2,637866,40777,16
82,nonfiction,108,Jon Krakauer                                                                  ,1996,Into the Wild                                                                            ,3.9,665377,17299,16
83,classics,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne                        ",1859,A Tale of Two Cities                                                                     ,3.8,677713,13093,5 
84,fiction,176,Michael Crichton                                                              ,1990,"Jurassic Park (Jurassic Park, #1)                                                        ",4,650483,8143,11
85,fiction,81,Shel Silverstein                                                              ,1964,The Giving Tree                                                                          ,4.4,708287,14368,11
86,fiction,158,John Grisham                                                                  ,1989,A Time to Kill                                                                           ,4,608824,4239,11
87,nonfiction,109,"Elie Wiesel, Marion Wiesel                                                    ",1958,Night (The Night Trilogy #1)                                                             ,4.3,707879,22001,16
88,young adult,178,John Green                                                                    ,2008,Paper Towns                                                                              ,3.9,655271,42717,18
89,fantasy,129,William Goldman                                                               ,1973,The Princess Bride                                                                       ,4.2,658042,15630,10
90,fiction,156,S.E. Hinton                                                                   ,1967,The Outsiders                                                                            ,4.1,680437,22662,11
91,young adult,147,James Dashner                                                                 ,2009,"The Maze Runner (Maze Runner, #1)                                                        ",4,777956,48942,18
92,nonfiction,124,"Steven D. Levitt, Stephen J. Dubner                                           ",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.9,549301,13668,16
93,classics,1350,Frances Hodgson Burnett                                                       ,1911,The Secret Garden                                                                        ,4.1,692249,13054,5 
94,classics,555,"Gabriel García Márquez, Gregory Rabassa                                       ",1967,One Hundred Years of Solitude                                                            ,4,575667,21671,5 
95,classics,2303,"Oscar Wilde, Jeffrey Eugenides                                                ",1891,The Picture of Dorian Gray                                                               ,4.1,674551,19647,5 
96,romance,133,E.L. James                                                                    ,2012,"Fifty Shades Freed (Fifty Shades, #3)                                                    ",3.9,610116,25287,17
97,classics,2207,"Bram Stoker, Nina Auerbach, David J. Skal                                     ",1897,Dracula                                                                                  ,4,689739,17263,5 
98,fiction,209,"Stieg Larsson, Reg Keeland                                                    ",2006,"The Girl Who Played with Fire (Millennium, #2)                                           ",4.2,649253,31423,11
99,romance,147,E.L. James                                                                    ,2011,"Fifty Shades Darker (Fifty Shades, #2)                                                   ",3.9,623340,28052,17
100,fiction,39,Barbara Kingsolver                                                            ,1998,The Poisonwood Bible                                                                     ,4,562787,19941,11
101,nonfiction,59,David Sedaris                                                                 ,2000,Me Talk Pretty One Day                                                                   ,4,514276,14982,16
102,fiction,110,Maurice Sendak                                                                ,1963,Where the Wild Things Are                                                                ,4.2,636061,9102,11
103,classics,1310,"Alexandre Dumas, Robin Buss                                                   ",1844,The Count of Monte Cristo                                                                ,4.2,601220,15925,5 
104,fiction,181,Cormac McCarthy                                                               ,2006,The Road                                                                                 ,4,555787,38980,11
105,young adult,153,Veronica Roth                                                                 ,2013,"Allegiant (Divergent, #3)                                                                ",3.6,663226,62536,18
106,nonfiction,48,Tina Fey                                                                      ,2011,Bossypants                                                                               ,3.9,609260,35142,16
107,fiction,131,Nicholas Sparks                                                               ,1999,A Walk to Remember                                                                       ,4.2,559581,11071,11
108,fiction,144,Sophie Kinsella                                                               ,2000,"Confessions of a Shopaholic (Shopaholic, #1)                                             ",3.6,558004,11170,11
109,classics,1319,"Victor Hugo, Lee Fahnestock, Norman MacAfee                                   ",1862,Les Misérables                                                                           ,4.1,560132,12505,5 
110,fantasy,202,George R.R. Martin                                                            ,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)                                           ",4.4,606765,20325,10
111,fiction,98,Kim Edwards                                                                   ,2005,The Memory Keeper's Daughter                                                             ,3.6,510582,18027,11
112,fiction,168,Jojo Moyes                                                                    ,2012,"Me Before You (Me Before You, #1)                                                        ",4.3,741133,71412,11
113,fiction,251,Joseph Heller                                                                 ,1961,Catch-22                                                                                 ,4,582515,13734,11
114,nonfiction,172,"Mitch Albom, Saulius Dagys                                                    ",1997,Tuesdays with Morrie                                                                     ,4.1,584397,19272,16
115,fiction,125,Jeffrey Eugenides                                                             ,2002,Middlesex                                                                                ,4,507998,20880,11
116,classics,2448,"Mark Twain, Guy Cardwell, John Seelye                                         ",1876,The Adventures of Tom Sawyer                                                             ,3.9,594226,7165,5 
117,fantasy,165,Madeleine L'Engle                                                             ,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)                                        ",4,650094,19413,10
118,fiction,126,Amy Tan                                                                       ,1989,The Joy Luck Club                                                                        ,3.9,525243,6708,11
119,fiction,236,Margaret Atwood                                                               ,1985,The Handmaid's Tale                                                                      ,4.1,683564,35925,11
120,young adult,93,Ann Brashares                                                                 ,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)                                   ",3.8,536604,6477,18
121,fiction,370,"Vladimir Nabokov, Craig Raine                                                 ",1955,Lolita                                                                                   ,3.9,517990,18107,11
122,fantasy,80,"Gregory Maguire, Douglas Smith                                                ",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)        ",3.5,525498,22926,10
123,fiction,11,John Grisham                                                                  ,1991,"The Firm (Penguin Readers, Level 5)                                                      ",4,488355,3139,11
124,fiction,151,Emma Donoghue                                                                 ,2010,Room                                                                                     ,4,556327,42254,11
125,classics,1929,"William Shakespeare, Richard Andrews, Rex Gibson                              ",1600,Hamlet                                                                                   ,4,576894,8889,5 
126,science fiction,241,Frank Herbert                                                                 ,1965,Dune (Dune Chronicles #1)                                                                ,4.2,525976,13239,25
127,nonfiction,100,Malcolm Gladwell                                                              ,2000,The Tipping Point: How Little Things Can Make a Big Difference                           ,3.9,499066,10895,16
128,biography,190,Walter Isaacson                                                               ,2011,Steve Jobs                                                                               ,4.1,579256,15198,3 
129,classics,275,Ken Kesey                                                                     ,1962,One Flew Over the Cuckoo's Nest                                                          ,4.2,514458,7855,5 
130,classics,666,Ernest Hemingway                                                              ,1952,The Old Man and the Sea                                                                  ,3.7,574328,16716,5 
131,classics,381,John Steinbeck                                                                ,1939,The Grapes of Wrath                                                                      ,3.9,553352,12991,5 
132,fiction,123,Mitch Albom                                                                   ,2003,The Five People You Meet in Heaven                                                       ,3.9,474699,16682,11
133,fiction,1314,L.M. Montgomery                                                               ,1908,"Anne of Green Gables (Anne of Green Gables, #1)                                          ",4.2,533352,14041,11
134,fantasy,122,Cassandra Clare                                                               ,2009,"City of Glass (The Mortal Instruments, #3)                                               ",4.3,630560,22736,10
135,fantasy,175,George R.R. Martin                                                            ,2000,"A Storm of Swords (A Song of Ice and Fire, #3)                                           ",4.5,527644,19497,10
136,fiction,75,Rebecca Wells                                                                 ,1996,Divine Secrets of the Ya-Ya Sisterhood                                                   ,3.8,470508,3867,11
137,historical,189,Diana Gabaldon                                                                ,1991,"Outlander (Outlander, #1)                                                                ",4.2,578842,36707,12
138,classic,1579,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym                            ",1850,The Scarlet Letter                                                                       ,3.4,559246,11428,5 
139,fantasy,155,Ransom Riggs                                                                  ,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)     ",3.9,672222,53569,10
140,fiction,193,"Stieg Larsson, Reg Keeland                                                    ",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)                                   ",4.2,526791,26766,11
141,fantasy,148,Andy Weir                                                                     ,2012,The Martian                                                                              ,4.4,529702,61298,10
142,fiction,255,Ken Follett                                                                   ,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)                                    ",4.3,495893,26283,11
143,fiction,139,Anthony Doerr                                                                 ,2014,All the Light We Cannot See                                                              ,4.3,547827,53413,11
144,nonfiction,16,Laura Hillenbrand                                                             ,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption                   ",4.4,528552,41572,16
145,fiction,180,Dan Brown                                                                     ,2001,Deception Point                                                                          ,3.7,479733,7798,11
146,fiction,108,Donna Tartt                                                                   ,2013,The Goldfinch                                                                            ,3.9,463847,44631,11
147,fiction,150,Jay Asher                                                                     ,2007,Thirteen Reasons Why                                                                     ,4,571281,43467,11
148,fiction,169,Tracy Chevalier                                                               ,1999,Girl with a Pearl Earring                                                                ,3.9,492177,8011,11
149,young adult,130,Gayle Forman                                                                  ,2009,"If I Stay (If I Stay, #1)                                                                ",4,567087,34959,18
150,fiction,80,Anita Diamant                                                                 ,1997,The Red Tent                                                                             ,4.2,449217,17234,11
151,fantasy,121,Rick Riordan                                                                  ,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)                                ",4.2,550512,20097,10
152,romance,111,Nicholas Sparks                                                               ,2006,Dear John                                                                                ,4,454781,10626,17
153,fantasy,125,Cassandra Clare                                                               ,2008,"City of Ashes (The Mortal Instruments, #2)                                               ",4.2,586008,23643,10
154,fiction,1732,William Shakespeare                                                           ,1606,Macbeth                                                                                  ,3.9,524826,7609,11
155,fantasy,453,J.R.R. Tolkien                                                                ,1954,"The Two Towers (The Lord of the Rings, #2)                                               ",4.4,532209,6980,10
156,romance,65,Emily Giffin                                                                  ,2004,"Something Borrowed (Darcy & Rachel, #1)                                                  ",3.8,435189,11567,17
157,fiction,72,"Dr. Seuss, לאה נאור                                                           ",1960,Green Eggs and Ham                                                                       ,4.3,461041,7370,11
158,fiction,338,"Roald Dahl, Quentin Blake                                                     ",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)                                   ",4.1,494747,8473,11
159,fantasy,92,Rick Riordan                                                                  ,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)                        ",4.4,537708,14098,10
160,classics,1725,Charles Dickens                                                               ,1860,Great Expectations                                                                       ,3.8,507187,12311,5 
161,fantasy,470,J.R.R. Tolkien                                                                ,1955,"The Return of the King (The Lord of the Rings, #3)                                       ",4.5,510537,6644,10
162,classics,675,"Albert Camus, Matthew    Ward                                                 ",1942,The Stranger                                                                             ,4,483623,14836,5 
163,fantasy,72,Rick Riordan                                                                  ,2010,"The Lost Hero (The Heroes of Olympus, #1)                                                ",4.3,489495,17107,10
164,young adult,103,Rainbow Rowell                                                                ,2013,Eleanor & Park                                                                           ,4.1,579753,53005,18
165,fantasy,176,George R.R. Martin                                                            ,2005,"A Feast for Crows (A Song of Ice and Fire, #4)                                           ",4.1,481130,18876,10
166,young adult,84,Ally Condie                                                                   ,2010,"Matched (Matched, #1)                                                                    ",3.7,530680,30226,18
167,fantasy,196,Neil Gaiman                                                                   ,2001,"American Gods (American Gods, #1)                                                        ",4.1,518343,27587,10
168,horror,195,"Stephen King, Bernie Wrightson                                                ",1978,The Stand                                                                                ,4.3,469953,13808,31
169,romance,95,Nicholas Sparks                                                               ,2008,The Last Song                                                                            ,4.1,438429,11051,17
170,fiction,185,Dan Brown                                                                     ,1998,Digital Fortress                                                                         ,3.6,447503,7538,11
171,classics,1710,"Jane Austen, Fiona Stafford                                                   ",1815,Emma                                                                                     ,4,497949,11724,5 
172,classics,1492,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude                          ",1877,Anna Karenina                                                                            ,4,472796,18064,5 
173,fiction,283,Anthony Burgess                                                               ,1962,A Clockwork Orange                                                                       ,4,454391,9958,11
174,fiction,134,William Paul Young                                                            ,2007,The Shack                                                                                ,3.7,438292,29377,11
175,fantasy,87,Rick Riordan                                                                  ,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)                                  ",4.5,499510,17693,10
176,horror,7,Stephen King                                                                  ,1986,It                                                                                       ,4.2,479381,11698,31
177,fiction,1714,"Fyodor Dostoyevsky, David McDuff                                              ",1866,Crime and Punishment                                                                     ,4.2,444675,12605,11
178,classics,246,Sylvia Plath                                                                  ,1963,The Bell Jar                                                                             ,4,442157,15963,5 
179,nonfiction,184,Frank McCourt                                                                 ,1996,"Angela's Ashes (Frank McCourt, #1)                                                       ",4.1,419746,9798,16
180,fiction,972,"Hermann Hesse, Hilda Rosner                                                   ",1922,Siddhartha                                                                               ,4,418653,11518,11
181,nonfiction,223,Truman Capote                                                                 ,1965,In Cold Blood                                                                            ,4,401839,11754,16
182,fantasy,119,"Kami Garcia, Margaret Stohl                                                   ",2009,"Beautiful Creatures (Caster Chronicles, #1)                                              ",3.8,458518,20808,10
183,fantasy,103,Cassandra Clare                                                               ,2010,"Clockwork Angel (The Infernal Devices, #1)                                               ",4.3,515759,24385,10
184,young adult,242,"Roald Dahl, Quentin Blake                                                     ",1988,Matilda                                                                                  ,4.3,463491,11053,18
185,fantasy,119,Erin Morgenstern                                                              ,2011,The Night Circus                                                                         ,4,474826,54008,10
186,fiction,111,Philippa Gregory                                                              ,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)                             ",4,399223,15846,11
187,young adult,98,Scott Westerfeld                                                              ,2005,"Uglies (Uglies, #1)                                                                      ",3.9,464589,21234,18
188,fantasy,115,George R.R. Martin                                                            ,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)                                        ",4.3,424618,20072,10
189,fantasy,380,J.R.R. Tolkien                                                                ,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)                                      ",4.5,436346,9365,10
190,nonfiction,101,Cheryl Strayed                                                                ,2012,Wild: From Lost to Found on the Pacific Crest Trail                                      ,4,420903,34444,16
191,fiction,90,"Alan Moore, Dave Gibbons, John Higgins                                        ",1987,Watchmen                                                                                 ,4.3,409323,10851,11
192,fantasy,123,Patrick Rothfuss                                                              ,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)                                      ",4.5,449372,28631,10
193,nonfiction,120,Malcolm Gladwell                                                              ,2008,Outliers: The Story of Success                                                           ,4.1,369126,19383,16
194,classics,1823,"Herman Melville, Andrew Delbanco, Tom Quirk                                   ",1851,"Moby-Dick or, The Whale                                                                  ",3.5,397963,11223,5 
195,fiction,116,"Mary Ann Shaffer, Annie Barrows                                               ",2008,The Guernsey Literary and Potato Peel Pie Society                                        ,4.1,423672,39853,11
196,fiction,162,Chuck Palahniuk                                                               ,1996,Fight Club                                                                               ,4.2,388654,11176,11
197,fantasy,109,Charlaine Harris                                                              ,2001,"Dead Until Dark (Sookie Stackhouse, #1)                                                  ",4,444824,16818,10
198,fiction,155,Alice Walker                                                                  ,1982,The Color Purple                                                                         ,4.2,400965,9485,11
199,nonfiction,119,John Grogan                                                                   ,2005,Marley and Me: Life and Love With the World's Worst Dog                                  ,4.1,379348,13407,16
200,mystery,474,Agatha Christie                                                               ,1939,And Then There Were None                                                                 ,4.2,456680,17264,15
201,fiction,208,Dan Brown                                                                     ,2009,"The Lost Symbol (Robert Langdon, #3)                                                     ",3.7,404982,24199,11
202,young adult,91,Becca Fitzpatrick                                                             ,2009,"Hush, Hush (Hush, Hush, #1)                                                              ",4,461802,21871,18
203,romance,85,Jamie McGuire                                                                 ,2011,"Beautiful Disaster (Beautiful, #1)                                                       ",4.2,442696,25298,17
204,classics,2380,Charles Dickens                                                               ,1843,A Christmas Carol                                                                        ,4,441396,11568,5 
205,fantasy,189,Anne Rice                                                                     ,1976,"Interview with the Vampire (The Vampire Chronicles, #1)                                  ",4,393941,7951,10
206,young adult,93,Kiera Cass                                                                    ,2012,"The Selection (The Selection, #1)                                                        ",4.2,539091,35681,18
207,mystery,109,Janet Evanovich                                                               ,1994,"One for the Money (Stephanie Plum, #1)                                                   ",4,403315,13050,15
208,nonfiction,66,Rebecca Skloot                                                                ,2010,The Immortal Life of Henrietta Lacks                                                     ,4,404440,28624,16
209,horror,187,Thomas Harris                                                                 ,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)                                          ",4.1,366112,3866,31
210,fantasy,132,Richelle Mead                                                                 ,2007,"Vampire Academy (Vampire Academy, #1)                                                    ",4.1,455151,19720,10
211,nonfiction,116,Malcolm Gladwell                                                              ,2005,Blink: The Power of Thinking Without Thinking                                            ,3.9,360338,12215,16
